;ts_start;ts_stop;sciName;comName_en;confidence;comName;speciesCode;category;taxonOrder;bandingCodes;comNameCodes;sciNameCodes;order;familyCode;familyComName;familySciName;extinct;extinctYear;photo_url
31;114.0;117.0;Ptilinopus magnificus;Wompoo Fruit-Dove;0.29117984;Ptilope magnifique;wofdov1;species;2559.0;[];['WOFD', 'WFDO'];['PTMA'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/b/be/Ptilinopus_magnificus_-North_Queensland%2C_Australia-8.jpg
32;114.0;117.0;Columba livia;Rock Pigeon;0.1344942;Pigeon biset;rocpig;species;1827.0;[];['ROPI', 'MN', 'RP', 'RODO'];['COLI'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/f/f3/Kabootar_Kordestan.jpg
33;117.0;120.0;Ptilinopus magnificus;Wompoo Fruit-Dove;0.11810084;Ptilope magnifique;wofdov1;species;2559.0;[];['WOFD', 'WFDO'];['PTMA'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/b/be/Ptilinopus_magnificus_-North_Queensland%2C_Australia-8.jpg
34;120.0;123.0;Bubo bubo;Eurasian Eagle-Owl;0.8770264;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
35;123.0;126.0;Baryphthengus martii;Rufous Motmot;0.21663742;Motmot roux;rufmot1;species;9362.0;['RMOT'];['RUMO'];['BAMA'];Coraciiformes;momoti1;Motmots;Momotidae;;;https://upload.wikimedia.org/wikipedia/commons/6/65/Baryphthengus_martii_-Panama-8.jpg
36;123.0;126.0;Momotus momota;Amazonian Motmot;0.1471239;Motmot houtouc;bucmot4;species;9350.0;[];['AMMO'];['MOMO'];Coraciiformes;momoti1;Motmots;Momotidae;;;https://upload.wikimedia.org/wikipedia/commons/9/9d/Amazonian_Motmot_%28Momotus_momota%29_%2838484878185%29.jpg
37;129.0;132.0;Bubo bubo;Eurasian Eagle-Owl;0.44465128;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
38;132.0;135.0;Strix nebulosa;Great Gray Owl;0.3669911;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
39;132.0;135.0;Centropus sinensis;Greater Coucal;0.17737807;Grand Coucal;grecou1;species;3055.0;[];['GRCO'];['CESI'];Cuculiformes;cuculi1;Cuckoos;Cuculidae;;;https://upload.wikimedia.org/wikipedia/commons/5/5c/Greater_coucal_crop.jpg
40;135.0;138.0;Strix nebulosa;Great Gray Owl;0.20420955;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
41;138.0;141.0;Bubo bubo;Eurasian Eagle-Owl;0.36460945;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
42;138.0;141.0;Strix nebulosa;Great Gray Owl;0.19571087;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
